X,Y,Name,Description
-84.28475,34.0665,Alpharetta Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210116162019/"">131210116162019</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 38</div>"
-84.447381,34.649995,Gilmer County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131230805002002/"">131230805002002</a></div><div>County: Gilmer County</div><div>2010 Correctional Population: 113</div>"
-81.4964,31.153915,Glynn County Detention Center,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131270008001031/"">131270008001031</a></div><div>County: Glynn County</div><div>2010 Correctional Population: 448</div>"
-84.939626,34.563905,Gordon County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131299703003007/"">131299703003007</a></div><div>County: Gordon County</div><div>2010 Correctional Population: 281</div>"
-84.201797,30.892348,Grady County Detention Center,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131319504003008/"">131319504003008</a></div><div>County: Grady County</div><div>2010 Correctional Population: 113</div>"
-83.191789,33.569202,Greene County Law Enforcement Center,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131339503032038/"">131339503032038</a></div><div>County: Greene County</div><div>2010 Correctional Population: 61</div>"
-83.977997,33.983915,Gwinnett County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131350505481026/"">131350505481026</a></div><div>County: Gwinnett County</div><div>2010 Correctional Population: 3030</div>"
-83.904052,34.091236,Phillips State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131350506091013/"">131350506091013</a></div><div>County: Gwinnett County</div><div>2010 Correctional Population: 824</div>"
-83.534226,34.610729,Habersham County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131370003003056/"">131370003003056</a></div><div>County: Habersham County</div><div>2010 Correctional Population: 114</div>"
-83.597497,34.45122,Lee Arrendale Corr Inst,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131370006012032/"">131370006012032</a></div><div>County: Habersham County</div><div>2010 Correctional Population: 1545</div>"
-83.812037,34.309974,Hall County Correctional Institution,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131390006003071/"">131390006003071</a></div><div>County: Hall County</div><div>2010 Correctional Population: 148</div>"
-83.817068,34.240468,Hall County Detention Center,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131390012013050/"">131390012013050</a></div><div>County: Hall County</div><div>2010 Correctional Population: 1122</div>"
-82.950075,33.245598,Hancock State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131414804001044/"">131414804001044</a></div><div>County: Hancock County</div><div>2010 Correctional Population: 1329</div>"
